id,title,content,tags,category
1,Government confirms new vaccination campaign,The health ministry announced a nationwide vaccination campaign starting next month with doses distributed through public clinics.,"health,public policy,vaccination",0
2,City opens new public school campus,Local authorities inaugurated a new school campus with science labs library and sports facilities for students.,"education,city hall,schools",0
3,Central bank keeps interest rate unchanged,The central bank maintained the benchmark interest rate after reviewing inflation and employment indicators.,"economy,finance,policy",0
4,University publishes climate research report,Researchers released a peer reviewed report describing regional climate trends and water management risks.,"research,climate,science",0
5,Company launches employee mental health program,A corporate wellness initiative now offers therapy support workshops and flexible mental health leave guidelines.,"workplace,wellness,hr",0
6,Transit authority expands weekend bus schedule,The transit agency published revised weekend routes and more frequent departures to reduce wait times.,"transportation,infrastructure,city",0
7,Miracle herb instantly cures every disease,An anonymous blog claims a secret herb cures all diseases overnight and hospitals are hiding the truth.,"health,viral rumor,conspiracy",1
8,Aliens elected as world leaders in secret meeting,A fabricated article says alien representatives elected global leaders during a hidden summit on the moon.,"politics,conspiracy,aliens",1
9,Banks to erase all debts if message is shared,Social media posts falsely claim all personal bank debts will disappear if users forward a chain message.,"finance,rumor,social media",1
10,Scientists admit the earth doubles in size yearly,A fake story invents unnamed scientists and claims the planet physically doubles in size every year.,"science,hoax,viral",1
11,Celebrity says drinking paint improves memory,A sensational article spreads a dangerous false claim that drinking paint improves concentration and memory.,"celebrity,health,misinformation",1
12,Hidden law allows free houses for everyone,An unverified website claims a hidden law gives every citizen a free house without any official source.,"policy,rumor,hoax",1
