id,title,content,tags,category
1,Cura milagrosa descoberta,Cientista anonimo descobre que agua com sal cura tudo.,"saude,urgente",1
2,Banco Central altera taxa,O comite decidiu elevar a taxa de juros em 0.5%.,"economia,financas",0
3,Extra terrestres em Marte,Fotos vazadas mostram cidades em Marte.,"espaco,vazamento",1
4,Nova lei de transito aprovada,A nova regulamentacao entra em vigor no proximo mes.,"lei,governo",0
5,Segredo que os medicos escondem,Coma isto e nunca mais fique doente diz especialista.,"saude,segredo",1
6,Resultados do PIB trimestral,A economia cresceu conforme o esperado pelos analistas.,"economia,pib",0
7,Planta que cura tudo em 24h,Folha de arvore rara elimina qualquer virus.,"saude,natureza",1
8,Acordo comercial assinado,Lideres de 10 paises assinaram o tratado hoje.,"politica,internacional",0
9,Ocultaram a verdade sobre o clima,Documentos secretos provam que o sol e frio.,"clima,conspiracao",1
10,Prefeitura inaugura novo parque,O espaco conta com 50 mil metros quadrados de area verde.,"cidade,lazer",0
11,Cha caseiro substitui vacinas,Influenciador afirma que uma mistura de ervas protege contra qualquer doenca.,"saude,desinformacao",1
12,Ministerio da Saude amplia campanha,Postos de saude terao horario estendido para vacinacao no fim de semana.,"saude,governo",0
13,Moeda antiga vale milhoes para todos,Mensagem viral diz que qualquer moeda de um centavo pode ser vendida por fortuna.,"economia,viral",1
14,Receita Federal libera consulta,Lote residual do imposto de renda estara disponivel no portal oficial.,"economia,servico",0
15,Cientistas provam telepatia em gatos,Site sem fontes afirma que felinos conversam com humanos pela mente.,"ciencia,animais",1
16,Universidade publica estudo sobre felinos,Pesquisadores analisaram comportamento de gatos em ambientes urbanos.,"ciencia,pesquisa",0
17,Tempestade solar desligara internet mundial,Publicacao sensacionalista diz que todos os satelites vao cair esta noite.,"tecnologia,boato",1
18,Operadoras informam manutencao programada,Alguns servicos ficarao indisponiveis durante a madrugada de domingo.,"tecnologia,infraestrutura",0
19,Bebida energetica cura depressao,Texto sem evidencias promete efeito imediato no humor.,"saude,produto",1
20,Anvisa proibe lote irregular,Agencia recolheu produtos com rotulagem fora do padrao.,"saude,regulacao",0
21,Famoso admite ser reptiliano,Video editado tenta provar origem extraterrestre de artista.,"entretenimento,conspiracao",1
22,Ator anuncia pausa na carreira,Comunicado oficial informa afastamento para tratamento de saude.,"entretenimento,oficial",0
23,Aplicativo espiona pensamentos,Postagem diz que microfone do celular traduz ideias em anuncios.,"tecnologia,conspiracao",1
24,Aplicativo atualiza politica de privacidade,Empresa detalhou novas regras de coleta e armazenamento de dados.,"tecnologia,empresa",0
25,Tomar cloro elimina virus,Mensagem reciclada recomenda produto toxico como prevencao.,"saude,boato",1
26,Hospital abre novas vagas,Unidade municipal contratara enfermeiros e tecnicos por processo seletivo.,"saude,emprego",0
27,Piramides na Amazonia escondem portal,Canal afirma que ruinas secretas transportam pessoas para outra dimensao.,"historia,misterio",1
28,Arqueologos catalogam sitio historico,Equipe apresentou relatorio sobre artefatos encontrados em escavacao.,"historia,pesquisa",0
29,Vacina muda DNA permanentemente,Texto conspiratorio distorce funcionamento de imunizantes.,"saude,vacina",1
30,Instituto divulga boletim epidemiologico,Documento mostra queda nas internacoes por sindromes respiratorias.,"saude,dados",0
31,Governo vai taxar pix por mensagem,Boato afirma que cada transferencia tera cobranca automatica.,"economia,boato",1
32,Banco publica novas regras do pix,Mudancas tratam de limite noturno e seguranca antifraude.,"economia,bancos",0
33,Cometa trara ouro para a Terra,Portal sem base cientifica promete riqueza global em poucos dias.,"espaco,falso",1
34,Observatorio confirma passagem de cometa,Astronomos explicaram a rota e a visibilidade do objeto celeste.,"espaco,astronomia",0
35,Erva rara faz crescer dentes,Video viral garante regeneracao completa em 48 horas.,"saude,viral",1
36,Conselho de odontologia alerta sobre golpe,Entidade recomenda desconfiar de promessas sem base clinica.,"saude,odontologia",0
37,Foto antiga prova cidade submersa,Montagem circula nas redes com legenda enganosa sobre desastres.,"clima,imagem",1
38,Defesa Civil monitora chuvas intensas,Estado emitiu alerta para alagamentos em areas de risco.,"clima,alerta",0
39,Capsula do tempo preve fim do mundo,Texto inventado mistura calendario maia e numerologia.,"misterio,boato",1
40,Centro meteorologico revisa previsao,Frente fria deve reduzir temperaturas no sul do pais.,"clima,tempo",0
41,Chocolate amargo substitui remedio para pressao,Post viral sugere abandonar tratamento medico.,"saude,desinformacao",1
42,Sociedade medica atualiza diretriz de hipertensao,Documento reforca acompanhamento clinico e uso correto de medicamentos.,"saude,medicina",0
43,Empresa promete internet pelo pensamento,Anuncio falso diz que chip cerebral sera gratuito para todos.,"tecnologia,fraude",1
44,Empresa lanca novo roteador domestico,Produto amplia cobertura de wifi e suporte a mais dispositivos.,"tecnologia,produto",0
45,Prefeito confirma contato com aliens,Mensagem criada por satira e compartilhada fora de contexto.,"politica,satira",1
46,Prefeitura apresenta plano diretor,Projeto estabelece metas de mobilidade e ocupacao urbana.,"politica,cidade",0
47,Suco detox remove metais pesados instantaneamente,Influencer vende receita milagrosa sem qualquer estudo.,"saude,marketing",1
48,Agencia publica guia alimentar,Material orienta consumo equilibrado e leitura de rotulos.,"saude,nutricao",0
49,Celular carregado na tomada atrai raios,Boato exagera riscos sem base tecnica.,"tecnologia,boato",1
50,Concessionaria reforca manutencao na rede eletrica,Equipes atuarao preventivamente antes do periodo de chuvas.,"infraestrutura,servico",0
